,Barack Obama Democratic,Mitt Romney Republican,Gary Johnson Libertarian,Jill Stein Green,Others,Margin,Total,,,,,,,,,,,,,
Louisiana,WTA,809141,40.58%,–,1152262,57.78%,8,18157,0.91%,–,6978,0.35%,–,7527,0.38%,–,"−343,121",−17.21%,1994065,LA
Maine (at-large),WTA,401306,56.27%,2,292276,40.98%,–,9352,1.31%,–,8119,1.14%,–,2127,0.30%,–,109030,15.29%,713180,ME–a/l
"Maine, 1st",CD,223035,59.57%,1,142937,38.18%,–,4501,1.20%,–,3946,1.05%,–,N/A,N/A,–,80098,21.39%,374419,ME-1
"Maine, 2nd",CD,177998,52.94%,1,149215,44.38%,–,4843,1.44%,–,4170,1.24%,–,N/A,N/A,–,28783,8.56%,336226,ME-2
Maryland,WTA,1677844,61.97%,10,971869,35.90%,–,30195,1.12%,–,17110,0.63%,–,10309,0.38%,–,705975,26.08%,2707327,MD
Massachusetts,WTA,1921290,60.65%,11,1188314,37.51%,–,30920,0.98%,–,20691,0.65%,–,6552,0.21%,–,732976,23.14%,3167767,MA
Michigan,WTA,2564569,54.21%,16,2115256,44.71%,–,7774,0.16%,–,21897,0.46%,–,21465,0.45%,–,449313,9.50%,4730961,MI
Minnesota,WTA,1546167,52.65%,10,1320225,44.96%,–,35098,1.20%,–,13023,0.44%,–,22048,0.75%,–,225942,7.69%,2936561,MN
Mississippi,WTA,562949,43.79%,–,710746,55.29%,6,6676,0.52%,–,1588,0.12%,–,3625,0.28%,–,"−147,797",−11.50%,1285584,MS
Missouri,WTA,1223796,44.38%,–,1482440,53.76%,10,43151,1.56%,–,0,0.00%,–,7936,0.29%,–,"−258,644",−9.38%,2757323,MO
Montana,WTA,201839,41.70%,–,267928,55.35%,3,14165,2.93%,–,0,0.00%,–,116,0.02%,–,"−66,089",−13.65%,484048,MT
Nebraska (at-large),WTA,302081,38.03%,–,475064,59.80%,2,11109,1.40%,–,0,0.00%,–,6125,0.77%,–,"−172,983",−21.78%,794379,NE–a/l
"Nebraska, 1st",CD,108082,40.95%,–,152021,57.59%,1,3847,1.46%,–,0,0.00%,–,N/A,N/A,–,"−43,939",−16.65%,263950,NE-1
"Nebraska, 2nd",CD,121889,45.78%,–,140976,52.95%,1,3393,1.27%,–,0,0.00%,–,N/A,N/A,–,"−19,087",−7.17%,266258,NE-2
"Nebraska, 3rd",CD,72110,27.94%,–,182067,70.56%,1,3869,1.50%,–,0,0.00%,–,N/A,N/A,–,"−109,957",−42.61%,258046,NE-3
Nevada,WTA,531373,52.36%,6,463567,45.68%,–,10968,1.08%,–,0,0.00%,–,9010,0.89%,–,67806,6.68%,1014918,NV
New Hampshire,WTA,369561,51.98%,4,329918,46.40%,–,8212,1.16%,–,324,0.05%,–,2957,0.42%,–,39643,5.58%,710972,NH
New Jersey,WTA,2125101,58.38%,14,1477568,40.59%,–,21045,0.58%,–,9888,0.27%,–,6690,0.18%,–,647533,17.81%,3640292,NJ
New Mexico,WTA,415335,52.99%,5,335788,42.84%,–,27788,3.55%,–,2691,0.34%,–,2156,0.28%,–,79547,10.15%,783758,NM
New York,WTA,4485741,63.35%,29,2490431,35.17%,–,47256,0.67%,–,39982,0.56%,–,17749,0.25%,–,1995310,28.18%,7081159,NY
North Carolina,WTA,2178391,48.35%,–,2270395,50.39%,15,44515,0.99%,–,0,0.00%,–,12071,0.27%,–,"−92,004",−2.04%,4505372,NC
North Dakota,WTA,124827,38.69%,–,188163,58.32%,3,5231,1.62%,–,1361,0.42%,–,3045,0.94%,–,"−63,336",−19.63%,322627,ND
Ohio,WTA,2827709,50.67%,18,2661437,47.69%,–,49493,0.89%,–,18573,0.33%,–,23635,0.42%,–,166272,2.98%,5580847,OH
Oklahoma,WTA,443547,33.23%,–,891325,66.77%,7,0,0.00%,–,0,0.00%,–,0,0.00%,–,"−447,778",−33.54%,1334872,OK
Oregon,WTA,970488,54.24%,7,754175,42.15%,–,24089,1.35%,–,19427,1.09%,–,21091,1.18%,–,216313,12.09%,1789270,OR
Pennsylvania,WTA,2990274,51.97%,20,2680434,46.59%,–,49991,0.87%,–,21341,0.37%,–,11630,0.20%,–,309840,5.39%,5753670,PA
Rhode Island,WTA,279677,62.70%,4,157204,35.24%,–,4388,0.98%,–,2421,0.54%,–,2359,0.53%,–,122473,27.46%,446049,RI
South Carolina,WTA,865941,44.09%,–,1071645,54.56%,9,16321,0.83%,–,5446,0.28%,–,4765,0.24%,–,"−205,704",−10.47%,1964118,SC
South Dakota,WTA,145039,39.87%,–,210610,57.89%,3,5795,1.59%,–,0,0.00%,–,2371,0.65%,–,"−65,571",−18.02%,363815,SD
Tennessee,WTA,960709,39.08%,–,1462330,59.48%,11,18623,0.76%,–,6515,0.26%,–,10400,0.42%,–,"−501,621",−20.40%,2458577,TN
Texas,WTA,3308124,41.38%,–,4569843,57.17%,38,88580,1.11%,–,24657,0.31%,–,2647,0.03%,–,"−1,261,719",−15.78%,7993851,TX
Utah,WTA,251813,24.75%,–,740600,72.79%,6,12572,1.24%,–,3817,0.38%,–,8638,0.85%,–,"−488,787",−48.04%,1017440,UT
Vermont,WTA,199239,66.57%,3,92698,30.97%,–,3487,1.17%,–,594,0.20%,–,3272,1.09%,–,106541,35.60%,299290,VT
Virginia,WTA,1971820,51.16%,13,1822522,47.28%,–,31216,0.81%,–,8627,0.22%,–,20304,0.53%,–,149298,3.87%,3854489,VA
Washington,WTA,1755396,56.16%,12,1290670,41.29%,–,42202,1.35%,–,20928,0.67%,–,16320,0.52%,–,464726,14.87%,3125516,WA
West Virginia,WTA,238269,35.54%,–,417655,62.30%,5,6302,0.94%,–,4406,0.66%,–,3806,0.57%,–,"−179,386",−26.76%,670438,WV
Wisconsin,WTA,1620985,52.83%,10,1407966,45.89%,–,20439,0.67%,–,7665,0.25%,–,11379,0.37%,–,213019,6.94%,3068434,WI
Wyoming,WTA,69286,27.82%,–,170962,68.64%,3,5326,2.14%,–,0,0.00%,–,3487,1.40%,–,"−101,676",−40.82%,249061,WY
U.S. Total,–,65915795,51.06%,332,60933504,47.20%,206,1275971,0.99%,–,469627,0.36%,–,490512,0.38%,–,4982291,3.86%,129085409,US
