"","Bill Clinton Democratic","Bob Dole Republican","Ross Perot Reform","Ralph Nader Green","Harry Browne Libertarian","Others","Margin","State Total"
"State","electoral votes","#","%","electoral votes","#","%","electoral votes","#","%","electoral votes","#","%","electoral votes","#","%","electoral votes","#","%","electoral votes","#","%","#",""
"Nebraska","5","236,761","34.95","–","363,467","53.65","5","71,278","10.52","–","–","–","–","2,792","0.41","–","3,117","0.46","–","−126,706","−18.70","677,415","NE"
"Nevada","4","203,974","43.93","4","199,244","42.91","–","43,986","9.47","–","4,730","1.02","–","4,460","0.96","–","7,885","1.70","–","4,730","1.02","464,279","NV"
"New Hampshire","4","246,214","49.32","4","196,532","39.37","–","48,390","9.69","–","–","–","–","4,237","0.85","–","3,802","0.76","–","49,682","9.95","499,175","NH"
"New Jersey","15","1,652,329","53.72","15","1,103,078","35.86","–","262,134","8.52","–","32,465","1.06","–","14,763","0.48","–","11,038","0.36","–","549,251","17.86","3,075,807","NJ"
"New Mexico","5","273,495","49.18","5","232,751","41.86","–","32,257","5.80","–","13,218","2.38","–","2,996","0.54","–","1,357","0.24","–","40,744","7.33","556,074","NM"
"New York","33","3,756,177","59.47","33","1,933,492","30.61","–","503,458","7.97","–","75,956","1.20","–","12,220","0.19","–","34,826","0.55","–","1,822,685","28.86","6,316,129","NY"
"North Carolina","14","1,107,849","44.04","–","1,225,938","48.73","14","168,059","6.68","–","2,108","0.08","–","8,740","0.35","–","3,113","0.12","–","−118,089","−4.69","2,515,807","NC"
"North Dakota","3","106,905","40.13","–","125,050","46.94","3","32,515","12.20","–","–","–","–","847","0.32","–","1,094","0.41","–","−18,145","−6.81","266,411","ND"
"Ohio","21","2,148,222","47.38","21","1,859,883","41.02","–","483,207","10.66","–","2,962","0.07","–","12,851","0.28","–","27,309","0.60","–","288,339","6.36","4,534,434","OH"
"Oklahoma","8","488,105","40.45","–","582,315","48.26","8","130,788","10.84","–","–","–","–","5,505","0.46","–","–","–","–","−94,210","−7.81","1,206,713","OK"
"Oregon","7","649,641","47.15","7","538,152","39.06","–","121,221","8.80","–","49,415","3.59","–","8,903","0.65","–","10,428","0.76","–","111,489","8.09","1,377,760","OR"
"Pennsylvania","23","2,215,819","49.17","23","1,801,169","39.97","–","430,984","9.56","–","3,086","0.07","–","28,000","0.62","–","27,060","0.60","–","414,650","9.20","4,506,118","PA"
"Rhode Island","4","233,050","59.71","4","104,683","26.82","–","43,723","11.20","–","6,040","1.55","–","1,109","0.28","–","1,679","0.43","–","128,367","32.89","390,284","RI"
"South Carolina","8","504,051","43.85","–","573,458","49.89","8","64,386","5.60","–","–","–","–","4,271","0.37","–","3,291","0.29","–","−69,407","−6.04","1,149,457","SC"
"South Dakota","3","139,333","43.03","–","150,543","46.49","3","31,250","9.65","–","–","–","–","1,472","0.45","–","1,228","0.38","–","−11,210","−3.46","323,826","SD"
"Tennessee","11","909,146","48.00","11","863,530","45.59","–","105,918","5.59","–","6,427","0.34","–","5,020","0.27","–","4,064","0.21","–","45,616","2.41","1,894,105","TN"
"Texas","32","2,459,683","43.83","–","2,736,167","48.76","32","378,537","6.75","–","4,810","0.09","–","20,256","0.36","–","12,191","0.22","–","−276,484","−4.93","5,611,644","TX"
"Utah","5","221,633","33.30","–","361,911","54.37","5","66,461","9.98","–","4,615","0.69","–","4,129","0.62","–","6,880","1.03","–","−140,278","−21.07","665,629","UT"
"Vermont","3","137,894","53.35","3","80,352","31.09","–","31,024","12.00","–","5,585","2.16","–","1,183","0.46","–","2,411","0.93","–","57,542","22.26","258,449","VT"
"Virginia","13","1,091,060","45.15","–","1,138,350","47.10","13","159,861","6.62","–","–","–","–","9,174","0.38","–","18,197","0.75","–","−47,290","−1.96","2,416,642","VA"
"Washington","11","1,123,323","49.84","11","840,712","37.30","–","201,003","8.92","–","60,322","2.68","–","12,522","0.56","–","15,955","0.71","–","282,611","12.54","2,253,837","WA"
"West Virginia","5","327,812","51.51","5","233,946","36.76","–","71,639","11.26","–","–","–","–","3,062","0.48","–","–","–","–","93,866","14.75","636,459","WV"
"Wisconsin","11","1,071,971","48.81","11","845,029","38.48","–","227,339","10.35","–","28,723","1.31","–","7,929","0.36","–","15,178","0.69","–","226,942","10.33","2,196,169","WI"
"Wyoming","3","77,934","36.84","–","105,388","49.81","3","25,928","12.25","–","–","–","–","1,739","0.82","–","582","0.28","–","−27,454","−12.98","211,571","WY"
"TOTALS:","538","47,400,125","49.24","379","39,198,755","40.71","159","8,085,402","8.40","–","685,297","0.71","–","485,798","0.50","–","420,024","0.44","–","8,201,370","8.52","96,277,634","US"
